stop_id,stop_name,stop_lat,stop_lon,stop_timezone
26015,"Contrada Marinello, 15 - Cervicati",39.564637,16.199932,Europe/Rome
26014,"Contrada Marinello, 130 - Cervicati",39.565323,16.195043,Europe/Rome
26013,"Contrada Marinello, 98 - Cervicati",39.565702,16.190304,Europe/Rome
26017,"Ghiandaro, 180 - Cervicati",39.564392,16.182870,Europe/Rome
26012,Ghiandaro - San Marco Argentano,39.560708,16.173688,Europe/Rome
2180,Contrada Carnevale - San Marco Argentano,39.560323,16.169303,Europe/Rome
2280,Tabacchino Filice - Cervicati,39.558791,16.163992,Europe/Rome
2220,Fattoria Giamparelli - San Marco Argentano,39.559163,16.155428,Europe/Rome
2146,Bivio Valentoni - San Marco Argentano,39.557592,16.151714,Europe/Rome
26022,Bivio Valentoni - San Marco Argentano,39.557524,16.151730,Europe/Rome
26010,Fattoria Giamparelli - San Marco Argentano,39.559081,16.155363,Europe/Rome
26019,Tabacchino Filice  - Cervicati,39.558755,16.163840,Europe/Rome
26018,"Ghiandaro, 245 - Cervicati",39.560251,16.171492,Europe/Rome
26011,Ghiandaro - San Marco Argentano,39.564350,16.178797,Europe/Rome
26007,Ghiandaro - San Marco Argentano,39.570213,16.185139,Europe/Rome
26006,Ghiandaro - San Marco Argentano,39.574116,16.189641,Europe/Rome
2197,Contrada Princivalle - Mongrassano,39.551093,16.171066,Europe/Rome
2183,"Contrada Princivalli, 9 - Mongrassano",39.546512,16.182442,Europe/Rome
26021,"Contrada Princivalli, 9 - Mongrassano",39.546653,16.182519,Europe/Rome
26020,Contrada Princivalle - Mongrassano,39.551112,16.171098,Europe/Rome
2182,"Strada Provinciale 270, 38 - San Marco Argentano",39.634365,16.226948,Europe/Rome
2181,"Strada Provinciale 270, 8 - San Marco Argentano",39.629211,16.219390,Europe/Rome
26023,"Strada Provinciale 270, 8 - San Marco Argentano",39.628942,16.219225,Europe/Rome
26024,"Strada Provinciale 270, 38 - San Marco Argentano",39.634374,16.227027,Europe/Rome
2274,Strada Provinciale 263 - Castrovillari,39.830941,16.253268,Europe/Rome
2169,"Via Francesco Muraca, 31 - Castrovillari",39.826885,16.220084,Europe/Rome
2165,"Viale Padre Francesco Russo, 3 - Castrovillari",39.820682,16.209838,Europe/Rome
2167,"Via Alberto De Giorgio, 8 - Castrovillari",39.822528,16.204430,Europe/Rome
2166,"Via G. Galabria Polisportivo, 27 - Castrovillari",39.822441,16.197687,Europe/Rome
2164,"Castrovillari Autostazione, Via degli Osci - Castrovillari",39.817559,16.200452,Europe/Rome
26027,"Via G. Galabria Polisportivo, 14 - Castrovillari",39.821911,16.197049,Europe/Rome
26028,"Via Delle Orchidee, 14 - Castrovillari",39.822257,16.203963,Europe/Rome
26026,"Viale Padre Francesco Russo, 3 - Castrovillari",39.820568,16.209976,Europe/Rome
26030,"Via Francesco Muraca, 31 - Castrovillari",39.826810,16.220012,Europe/Rome
26025,Strada Provinciale 263 - Castrovillari,39.830730,16.253377,Europe/Rome
2250,"Via Roma, 17 - Rotonda",39.953558,16.037396,Europe/Rome
26031,"Corso Garibaldi, 147 - Rotonda",39.949597,16.039463,Europe/Rome
26032,"Strada Provinciale 28 Calabra, 23 - Rotonda",39.937834,16.046786,Europe/Rome
26033,"Strada Provinciale 28 Calabra, 6 - Rotonda",39.930944,16.046798,Europe/Rome
26034,"Strada Provinciale 28 Calabra, 6 - Rotonda",39.927396,16.045654,Europe/Rome
26035,"Strada Provinciale 28 Calabra, 6 - Rotonda",39.926201,16.046111,Europe/Rome
26036,Strada Provinciale 28 Calabra - Rotonda,39.918359,16.032923,Europe/Rome
26041,Strada Provinciale 137 - Morano Calabro,39.875075,16.065952,Europe/Rome
26042,Strada Statale 19 delle Calabrie - Morano Calabro,39.868656,16.073328,Europe/Rome
26043,Strada Statale 19 delle Calabrie - Morano Calabro,39.847578,16.118327,Europe/Rome
26044,Strada Statale 19 delle Calabrie - Morano Calabro,39.846417,16.126520,Europe/Rome
26045,"Via Nazionale, 30 - Morano Calabro",39.843477,16.138321,Europe/Rome
26046,"Via Nazionale, 144 - Morano Calabro",39.839390,16.146519,Europe/Rome
26029,"Corso Calabria, 168 - Castrovillari",39.821756,16.194722,Europe/Rome
2168,"Corso Calabria, 166 - Castrovillari",39.821580,16.194748,Europe/Rome
2236,"Strada Statale 19, 86 - Morano Calabro",39.841091,16.140948,Europe/Rome
2237,"Via Stazione, 2 - Morano Calabro",39.843313,16.138650,Europe/Rome
2145,Contrada Terrarossa - Morano Calabro,39.846542,16.126773,Europe/Rome
2158,Strada Statale 19 delle Calabrie - Morano Calabro,39.848844,16.120057,Europe/Rome
2271,Strada Statale 19 delle Calabrie - Morano Calabro,39.869435,16.072243,Europe/Rome
2156,Strada Provinciale 137 - Morano Calabro,39.874804,16.066191,Europe/Rome
2124,Strada Provinciale 28 Calabra - Rotonda,39.918446,16.033083,Europe/Rome
2242,"Strada Provinciale 28 Calabra, 6 - Rotonda",39.926260,16.046167,Europe/Rome
2122,"Strada Provinciale 28 Calabra, 6 - Rotonda",39.927637,16.045536,Europe/Rome
2196,"Strada Provinciale 28 Calabra, 6 - Rotonda",39.931081,16.046807,Europe/Rome
2153,"Strada Provinciale 28 Calabra, 23 - Rotonda",39.937989,16.046513,Europe/Rome
2251,"Corso Garibaldi, 147 - Rotonda",39.949690,16.039383,Europe/Rome
2240,"Via Posillipo, 7 - Mormanno",39.883493,15.990018,Europe/Rome
26040,"Via San Biase, 8 - Mormanno",39.889372,15.988868,Europe/Rome
26039,"Via Malinieri, 168 - Mormanno",39.894050,15.992515,Europe/Rome
26038,Strada Provinciale 136 - Mormanno,39.904046,15.999641,Europe/Rome
26037,Strada Provinciale 136 - Mormanno,39.912345,16.013384,Europe/Rome
2178,Strada Provinciale 136 - Mormanno,39.913158,16.014545,Europe/Rome
2202,Strada Provinciale 136 - Mormanno,39.905228,16.000450,Europe/Rome
2239,"Via San Biase, 180 - Mormanno",39.894158,15.992324,Europe/Rome
2238,"Via San Biase, 7 - Mormanno",39.889478,15.988832,Europe/Rome
2223,"Corso Cavour, 39 - Firmo",39.722495,16.177450,Europe/Rome
2148,"Strada Provinciale 263, 1 - Firmo",39.721779,16.171440,Europe/Rome
2222,"Strada Provinciale 263, 18-30 - Firmo",39.722164,16.162303,Europe/Rome
2115,"Strada Provinciale 263, 60 - Firmo",39.724129,16.156122,Europe/Rome
2228,"Strada Provinciale 264, 51 - Lungro",39.728451,16.141609,Europe/Rome
2227,"Strada Provinciale 263, 31 - Lungro",39.738255,16.125884,Europe/Rome
2229,"Piazza Casini, 21 - Lungro",39.742219,16.123109,Europe/Rome
2230,"Strada Provinciale 263, 14 - Lungro",39.738273,16.117662,Europe/Rome
2100,Via Roma - Acquaformosa,39.724130,16.092017,Europe/Rome
2101,"Piazza Vittorio Emanuele III, 2 - Acquaformosa",39.721510,16.090039,Europe/Rome
2110,"Strada Provinciale 247, 6 - Rose",39.398290,16.299393,Europe/Rome
2308,"Strada Provinciale 247, 17 - Rose",39.397538,16.295801,Europe/Rome
2309,"Viale Italia, 91 - Rose",39.397816,16.291367,Europe/Rome
2310,"Via Colonne, 31 - Rose",39.397984,16.289300,Europe/Rome
2249,"Viale Italia, 14 - Rose",39.399486,16.287185,Europe/Rome
2304,"Via Italia, 88 - Rose",39.400409,16.289071,Europe/Rome
2248,Strada Provinciale 247 - Rose,39.401314,16.287328,Europe/Rome
2258,"Contrada Santicelli, 76 - Rose",39.402514,16.279687,Europe/Rome
2259,"Contrada Santicelli, 97 - Rose",39.403325,16.276014,Europe/Rome
2149,"Contrada Boccalupo, 27 - Rose",39.405042,16.265602,Europe/Rome
2111,"Contrada Petraro, 64C - Rose",39.406988,16.260819,Europe/Rome
2311,"Strada Provinciale 247, 14 - Montalto Uffugo",39.408311,16.252450,Europe/Rome
2294,Strada Statale 19 delle Calabrie - Rende,39.358006,16.241995,Europe/Rome
2267,"Via Santa Rita, 54 - Montalto Uffugo",39.407043,16.246917,Europe/Rome
2455,"Strada Provinciale 46, 174 - Monterosso Calabro",38.721377,16.290798,Europe/Rome
26057,"Strada Provinciale 247, 14 - Montalto Uffugo",39.408229,16.252497,Europe/Rome
26058,"Strada Provinciale 247, 64c - Rose",39.406831,16.260765,Europe/Rome
26059,"Strada Provinciale 247, 3 - Rose",39.404881,16.265641,Europe/Rome
26060,"Strada Provinciale 247, 92 - Rose",39.403259,16.275921,Europe/Rome
26061,"Strada Provinciale 247, 58 - Rose",39.402543,16.279495,Europe/Rome
26062,Strada Provinciale 247 - Rose,39.401322,16.287222,Europe/Rome
26063,"Viale Italia, 69 - Rose",39.400283,16.288943,Europe/Rome
26064,"Viale Italia, 29 - Rose",39.399515,16.287192,Europe/Rome
26065,"Viale Italia, 35 - Rose",39.397706,16.289311,Europe/Rome
26066,"Via Cozzarello, 101 - Rose",39.397496,16.290985,Europe/Rome
26067,"Viale Italia, 94 - Rose",39.397431,16.295698,Europe/Rome
26068,"Strada Provinciale 247, 6 - Rose",39.398232,16.299433,Europe/Rome
2264,"Contrada Sovarette Soprane, 50 - Rose",39.386271,16.298826,Europe/Rome
2263,"Strada Provinciale 247, 417 - Rose",39.390395,16.306878,Europe/Rome
2316,"Strada Provinciale 247, 71 - Rose",39.388413,16.312273,Europe/Rome
2317,"Strada Provinciale 247, 144 - Rose",39.388147,16.316524,Europe/Rome
2270,"Contrada Stio, 171 - Rose",39.391820,16.320968,Europe/Rome
2314,"Strada Provinciale 247, 417 - Rose",39.392051,16.316085,Europe/Rome
2313,"Strada Provinciale 247, 29 - Rose",39.397170,16.326211,Europe/Rome
2217,Strada Provinciale 247 - Rose,39.406728,16.331997,Europe/Rome
2104,Strada Provinciale 248 di Luzzi - Luzzi,39.421213,16.350192,Europe/Rome
2289,"Strada Provinciale 247, 77 - Rose",39.417409,16.373845,Europe/Rome
26080,"Strada Provinciale 247, 77 - Acri",39.418915,16.373868,Europe/Rome
26079,Strada Provinciale 248 di Luzzi - Luzzi,39.421130,16.350114,Europe/Rome
26078,Strada Provinciale 247 - Rose,39.406566,16.331951,Europe/Rome
26077,"Strada Provinciale 247, 29 - Rose",39.397132,16.326222,Europe/Rome
26076,"Strada Provinciale 247, 417 - Rose",39.392033,16.315927,Europe/Rome
26075,"Strada Provinciale 247, 28 - Rose",39.391591,16.320778,Europe/Rome
26074,"Strada Provinciale 247, 144 - Rose",39.388081,16.316399,Europe/Rome
26073,"Strada Provinciale 247, 71 - Rose",39.388329,16.312630,Europe/Rome
26072,"Strada Provinciale 247, 417 - Rose",39.390341,16.307034,Europe/Rome
26071,"Strada Provinciale 247, 43 - Rose",39.397429,16.308531,Europe/Rome
2112,"Contrada Petraro, 69A - Rose",39.406450,16.261198,Europe/Rome
2176,"Contrada Petraro, 79 - Rose",39.403595,16.261150,Europe/Rome
2288,"Contrada Petraro, 86 - Rose",39.398430,16.262189,Europe/Rome
2127,"Contrada Pianette, 20 - Rende",39.392688,16.263364,Europe/Rome
2190,"Contrada Pianette, 63 - Rose",39.387997,16.262543,Europe/Rome
2244,"Contrada Arente, 121 - Rose",39.381305,16.260282,Europe/Rome
